case:concept:name,concept:name,time:start,time:end,case:dims,case:threads
V4R9,"matmul(A,T_BCD)",2022-05-11 17:36:15.277981,2022-05-11 17:36:15.378597,"[300, 4000, 30, 320, 3000]",1
V5R2,"matmul(A,B)",2022-05-11 17:36:15.379646,2022-05-11 17:36:15.380758,"[300, 4000, 30, 320, 3000]",1
V5R2,"matmul(C,D)",2022-05-11 17:36:15.380758,2022-05-11 17:36:15.381661,"[300, 4000, 30, 320, 3000]",1
V5R2,"matmul(T_AB,T_CD)",2022-05-11 17:36:15.381661,2022-05-11 17:36:15.382486,"[300, 4000, 30, 320, 3000]",1
V2R5,"matmul(B,C)",2022-05-11 17:36:15.383590,2022-05-11 17:36:15.384769,"[300, 4000, 30, 320, 3000]",1
V2R5,"matmul(A,T_BC)",2022-05-11 17:36:15.384769,2022-05-11 17:36:15.394091,"[300, 4000, 30, 320, 3000]",1
V2R5,"matmul(T_ABC,D)",2022-05-11 17:36:15.394091,2022-05-11 17:36:15.400555,"[300, 4000, 30, 320, 3000]",1
V4R4,"matmul(C,D)",2022-05-11 17:36:15.401756,1652283375.402529,"[300, 4000, 30, 320, 3000]",1
V4R4,"matmul(B,T_CD)",2022-05-11 17:36:15.402529,2022-05-11 17:36:15.413282,"[300, 4000, 30, 320, 3000]",1
V4R4,"matmul(A,T_BCD)",2022-05-11 17:36:15.413282,2022-05-11 17:36:15.495737,"[300, 4000, 30, 320, 3000]",1
V4R2,"matmul(C,D)",2022-05-11 17:36:15.497229,1652283375.498091,"[300, 4000, 30, 320, 3000]",1
V4R2,"matmul(B,T_CD)",2022-05-11 17:36:15.498091,2022-05-11 17:36:15.510242,"[300, 4000, 30, 320, 3000]",1
V4R2,"matmul(A,T_BCD)",2022-05-11 17:36:15.510242,2022-05-11 17:36:15.603524,"[300, 4000, 30, 320, 3000]",1
V3R2,"matmul(B,C)",2022-05-11 17:36:15.604712,2022-05-11 17:36:15.606155,"[300, 4000, 30, 320, 3000]",1
V3R2,"matmul(T_BC,D)",2022-05-11 17:36:15.606155,2022-05-11 17:36:15.736368,"[300, 4000, 30, 320, 3000]",1
V3R2,"matmul(A,T_BCD)",2022-05-11 17:36:15.736368,2022-05-11 17:36:15.837617,"[300, 4000, 30, 320, 3000]",1
V5R1,"matmul(A,B)",2022-05-11 17:36:15.838900,2022-05-11 17:36:15.840095,"[300, 4000, 30, 320, 3000]",1
V5R1,"matmul(C,D)",2022-05-11 17:36:15.840095,2022-05-11 17:36:15.841114,"[300, 4000, 30, 320, 3000]",1
V5R1,"matmul(T_AB,T_CD)",2022-05-11 17:36:15.841114,2022-05-11 17:36:15.842121,"[300, 4000, 30, 320, 3000]",1
V2R2,"matmul(B,C)",2022-05-11 17:36:15.843186,2022-05-11 17:36:15.844764,"[300, 4000, 30, 320, 3000]",1
V2R2,"matmul(A,T_BC)",2022-05-11 17:36:15.844764,2022-05-11 17:36:15.855165,"[300, 4000, 30, 320, 3000]",1
V2R2,"matmul(T_ABC,D)",2022-05-11 17:36:15.855165,2022-05-11 17:36:15.863407,"[300, 4000, 30, 320, 3000]",1
V3R3,"matmul(B,C)",2022-05-11 17:36:15.864654,2022-05-11 17:36:15.866181,"[300, 4000, 30, 320, 3000]",1
V3R3,"matmul(T_BC,D)",2022-05-11 17:36:15.866181,2022-05-11 17:36:15.972698,"[300, 4000, 30, 320, 3000]",1
V3R3,"matmul(A,T_BCD)",2022-05-11 17:36:15.972698,2022-05-11 17:36:16.056910,"[300, 4000, 30, 320, 3000]",1
V3R9,"matmul(B,C)",2022-05-11 17:36:16.057921,2022-05-11 17:36:16.059072,"[300, 4000, 30, 320, 3000]",1
V3R9,"matmul(T_BC,D)",2022-05-11 17:36:16.059072,2022-05-11 17:36:16.144851,"[300, 4000, 30, 320, 3000]",1
V3R9,"matmul(A,T_BCD)",2022-05-11 17:36:16.144851,2022-05-11 17:36:16.238116,"[300, 4000, 30, 320, 3000]",1
V1R8,"matmul(A,B)",2022-05-11 17:36:16.239164,2022-05-11 17:36:16.240149,"[300, 4000, 30, 320, 3000]",1
V1R8,"matmul(T_AB,C)",2022-05-11 17:36:16.240149,2022-05-11 17:36:16.240229,"[300, 4000, 30, 320, 3000]",1
V1R8,"matmul(T_ABC,D)",2022-05-11 17:36:16.240229,2022-05-11 17:36:16.246867,"[300, 4000, 30, 320, 3000]",1
V1R4,"matmul(A,B)",2022-05-11 17:36:16.247932,2022-05-11 17:36:16.249294,"[300, 4000, 30, 320, 3000]",1
V1R4,"matmul(T_AB,C)",2022-05-11 17:36:16.249294,2022-05-11 17:36:16.249431,"[300, 4000, 30, 320, 3000]",1
V1R4,"matmul(T_ABC,D)",2022-05-11 17:36:16.249431,2022-05-11 17:36:16.255829,"[300, 4000, 30, 320, 3000]",1
V1R0,"matmul(A,B)",2022-05-11 17:36:16.256881,2022-05-11 17:36:16.257929,"[300, 4000, 30, 320, 3000]",1
V1R0,"matmul(T_AB,C)",2022-05-11 17:36:16.257929,2022-05-11 17:36:16.258011,"[300, 4000, 30, 320, 3000]",1
V1R0,"matmul(T_ABC,D)",2022-05-11 17:36:16.258011,2022-05-11 17:36:16.264175,"[300, 4000, 30, 320, 3000]",1
V2R4,"matmul(B,C)",2022-05-11 17:36:16.265199,2022-05-11 17:36:16.266403,"[300, 4000, 30, 320, 3000]",1
V2R4,"matmul(A,T_BC)",2022-05-11 17:36:16.266403,2022-05-11 17:36:16.275800,"[300, 4000, 30, 320, 3000]",1
V2R4,"matmul(T_ABC,D)",2022-05-11 17:36:16.275800,2022-05-11 17:36:16.281994,"[300, 4000, 30, 320, 3000]",1
V1R7,"matmul(A,B)",2022-05-11 17:36:16.282981,2022-05-11 17:36:16.283944,"[300, 4000, 30, 320, 3000]",1
V1R7,"matmul(T_AB,C)",2022-05-11 17:36:16.283944,2022-05-11 17:36:16.284023,"[300, 4000, 30, 320, 3000]",1
V1R7,"matmul(T_ABC,D)",2022-05-11 17:36:16.284023,2022-05-11 17:36:16.290157,"[300, 4000, 30, 320, 3000]",1
