case:concept:name,concept:name,time:start,time:end,case:dims,case:threads
V4R27,"matmul(C,D)",1652347205.835065,1652347205.835859,"[300, 4000, 30, 320, 3000]",4
V4R27,"matmul(B,T_CD)",1652347205.835859,1652347205.84021,"[300, 4000, 30, 320, 3000]",4
V4R27,"matmul(A,T_BCD)",1652347205.84021,1652347205.873347,"[300, 4000, 30, 320, 3000]",4
V2R24,"matmul(B,C)",1652347205.874523,1652347205.875061,"[300, 4000, 30, 320, 3000]",4
V2R24,"matmul(A,T_BC)",1652347205.875061,1652347205.878082,"[300, 4000, 30, 320, 3000]",4
V2R24,"matmul(T_ABC,D)",1652347205.878082,1652347205.880934,"[300, 4000, 30, 320, 3000]",4
V4R17,"matmul(C,D)",1652347205.882065,1652347205.882825,"[300, 4000, 30, 320, 3000]",4
V4R17,"matmul(B,T_CD)",1652347205.882825,1652347205.887563,"[300, 4000, 30, 320, 3000]",4
V4R17,"matmul(A,T_BCD)",1652347205.887563,1652347205.921091,"[300, 4000, 30, 320, 3000]",4
V1R48,"matmul(A,B)",1652347205.922397,1652347205.923129,"[300, 4000, 30, 320, 3000]",4
V1R48,"matmul(T_AB,C)",1652347205.923129,1652347205.923353,"[300, 4000, 30, 320, 3000]",4
V1R48,"matmul(T_ABC,D)",1652347205.923353,1652347205.926017,"[300, 4000, 30, 320, 3000]",4
V5R17,"matmul(A,B)",1652347205.927118,1652347205.927808,"[300, 4000, 30, 320, 3000]",4
V5R17,"matmul(C,D)",1652347205.927808,1652347205.927957,"[300, 4000, 30, 320, 3000]",4
V5R17,"matmul(T_AB,T_CD)",1652347205.927957,1652347205.928523,"[300, 4000, 30, 320, 3000]",4
V1R17,"matmul(A,B)",1652347205.929811,1652347205.930654,"[300, 4000, 30, 320, 3000]",4
V1R17,"matmul(T_AB,C)",1652347205.930654,1652347205.930796,"[300, 4000, 30, 320, 3000]",4
V1R17,"matmul(T_ABC,D)",1652347205.930796,1652347205.933619,"[300, 4000, 30, 320, 3000]",4
V4R68,"matmul(C,D)",1652347205.934716,1652347205.935463,"[300, 4000, 30, 320, 3000]",4
V4R68,"matmul(B,T_CD)",1652347205.935463,1652347205.939435,"[300, 4000, 30, 320, 3000]",4
V4R68,"matmul(A,T_BCD)",1652347205.939435,1652347205.976108,"[300, 4000, 30, 320, 3000]",4
V5R56,"matmul(A,B)",1652347205.978241,1652347205.979294,"[300, 4000, 30, 320, 3000]",4
V5R56,"matmul(C,D)",1652347205.979294,1652347205.979495,"[300, 4000, 30, 320, 3000]",4
V5R56,"matmul(T_AB,T_CD)",1652347205.979495,1652347205.980367,"[300, 4000, 30, 320, 3000]",4
V2R30,"matmul(B,C)",1652347205.982372,1652347205.983046,"[300, 4000, 30, 320, 3000]",4
V2R30,"matmul(A,T_BC)",1652347205.983046,1652347205.987617,"[300, 4000, 30, 320, 3000]",4
V2R30,"matmul(T_ABC,D)",1652347205.987617,1652347205.991421,"[300, 4000, 30, 320, 3000]",4
V1R58,"matmul(A,B)",1652347205.99301,1652347205.993637,"[300, 4000, 30, 320, 3000]",4
V1R58,"matmul(T_AB,C)",1652347205.993637,1652347205.993796,"[300, 4000, 30, 320, 3000]",4
V1R58,"matmul(T_ABC,D)",1652347205.993796,1652347205.997408,"[300, 4000, 30, 320, 3000]",4
V5R42,"matmul(A,B)",1652347205.998716,1652347205.999783,"[300, 4000, 30, 320, 3000]",4
V5R42,"matmul(C,D)",1652347205.999783,1652347205.999784,"[300, 4000, 30, 320, 3000]",4
V5R42,"matmul(T_AB,T_CD)",1652347205.999784,1652347206.000232,"[300, 4000, 30, 320, 3000]",4
V1R68,"matmul(A,B)",1652347206.001266,1652347206.001714,"[300, 4000, 30, 320, 3000]",4
V1R68,"matmul(T_AB,C)",1652347206.001714,1652347206.001814,"[300, 4000, 30, 320, 3000]",4
V1R68,"matmul(T_ABC,D)",1652347206.001814,1652347206.004951,"[300, 4000, 30, 320, 3000]",4
V2R6,"matmul(B,C)",1652347206.006056,1652347206.00661,"[300, 4000, 30, 320, 3000]",4
V2R6,"matmul(A,T_BC)",1652347206.00661,1652347206.011149,"[300, 4000, 30, 320, 3000]",4
V2R6,"matmul(T_ABC,D)",1652347206.011149,1652347206.014223,"[300, 4000, 30, 320, 3000]",4
V5R68,"matmul(A,B)",1652347206.015856,1652347206.016958,"[300, 4000, 30, 320, 3000]",4
V5R68,"matmul(C,D)",1652347206.016958,1652347206.016959,"[300, 4000, 30, 320, 3000]",4
V5R68,"matmul(T_AB,T_CD)",1652347206.016959,1652347206.017531,"[300, 4000, 30, 320, 3000]",4
V5R32,"matmul(A,B)",1652347206.019187,1652347206.020078,"[300, 4000, 30, 320, 3000]",4
V5R32,"matmul(C,D)",1652347206.020078,1652347206.020079,"[300, 4000, 30, 320, 3000]",4
V5R32,"matmul(T_AB,T_CD)",1652347206.020079,1652347206.02062,"[300, 4000, 30, 320, 3000]",4
V5R59,"matmul(A,B)",1652347206.021624,1652347206.02268,"[300, 4000, 30, 320, 3000]",4
V5R59,"matmul(C,D)",1652347206.02268,1652347206.022681,"[300, 4000, 30, 320, 3000]",4
V5R59,"matmul(T_AB,T_CD)",1652347206.022681,1652347206.023098,"[300, 4000, 30, 320, 3000]",4
