ID,Operation,Start time,End time,Dims,Num Threads
V1R4,tmp68 = (L7^-1 y),112.86993908882141,117.33578491210938,"[2500, 500]",1
V1R4,tmp12 = (L7^-1 X),117.33578491210938,123.11506295204163,"[2500, 500]",1
V1R4,tmp14 = (tmp12^T tmp12),123.11506295204163,123.2846040725708,"[2500, 500]",1
V1R4,tmp21 = (tmp12^T tmp68),123.2846040725708,123.28461003303528,"[2500, 500]",1
V1R4,(L15 L15^T) = tmp14,123.28461003303528,123.30013704299927,"[2500, 500]",1
V1R4,tmp23 = (L15^-1 tmp21),123.30013704299927,123.35812091827393,"[2500, 500]",1
V1R4,tmp24 = (L15^-T tmp23),123.35812091827393,123.42500400543213,"[2500, 500]",1
V1R4,b = tmp24,123.42500400543213,123.42500710487366,"[2500, 500]",1
V1R0,(L7 L7^T) = M,125.15800905227661,126.41918802261353,"[2500, 500]",1
V1R0,tmp68 = (L7^-1 y),126.41918802261353,131.0144600868225,"[2500, 500]",1
V1R0,tmp12 = (L7^-1 X),131.0144600868225,136.55183005332947,"[2500, 500]",1
V1R0,tmp14 = (tmp12^T tmp12),136.55183005332947,136.64099407196045,"[2500, 500]",1
V1R0,(L15 L15^T) = tmp14,136.64099407196045,136.65220594406128,"[2500, 500]",1
V1R0,tmp21 = (tmp12^T tmp68),136.65220594406128,136.65220999717712,"[2500, 500]",1
V1R0,tmp23 = (L15^-1 tmp21),136.65220999717712,136.69978094100952,"[2500, 500]",1
V1R0,tmp24 = (L15^-T tmp23),136.69978094100952,136.74808406829834,"[2500, 500]",1
V1R0,b = tmp24,136.74808406829834,136.74808812141418,"[2500, 500]",1
V1R1,(L7 L7^T) = M,136.759094953537,137.9554479122162,"[2500, 500]",1
V1R1,tmp68 = (L7^-1 y),137.9554479122162,142.44882702827454,"[2500, 500]",1
V1R1,tmp12 = (L7^-1 X),142.44882702827454,147.30697894096375,"[2500, 500]",1
V1R1,tmp14 = (tmp12^T tmp12),147.30697894096375,147.39359498023987,"[2500, 500]",1
V1R1,(L15 L15^T) = tmp14,147.39359498023987,147.40450596809387,"[2500, 500]",1
V1R1,tmp21 = (tmp12^T tmp68),147.40450596809387,147.40451002120972,"[2500, 500]",1
V1R1,tmp23 = (L15^-1 tmp21),147.40451002120972,147.44957900047302,"[2500, 500]",1
V1R1,tmp24 = (L15^-T tmp23),147.44957900047302,147.49671912193298,"[2500, 500]",1
V1R1,b = tmp24,147.49671912193298,147.49672198295593,"[2500, 500]",1
V1R2,(L7 L7^T) = M,147.50696110725403,148.62592697143555,"[2500, 500]",1
V1R2,tmp68 = (L7^-1 y),148.62592697143555,153.10369300842285,"[2500, 500]",1
V1R2,tmp12 = (L7^-1 X),153.10369300842285,157.97636890411377,"[2500, 500]",1
V1R2,tmp14 = (tmp12^T tmp12),157.97636890411377,158.063383102417,"[2500, 500]",1
V1R2,(L15 L15^T) = tmp14,158.063383102417,158.074049949646,"[2500, 500]",1
V1R2,tmp21 = (tmp12^T tmp68),158.074049949646,158.07405495643616,"[2500, 500]",1
V1R2,tmp23 = (L15^-1 tmp21),158.07405495643616,158.1189091205597,"[2500, 500]",1
V1R2,tmp24 = (L15^-T tmp23),158.1189091205597,158.16573691368103,"[2500, 500]",1
V1R2,b = tmp24,158.16573691368103,158.16573905944824,"[2500, 500]",1
V1R3,(L7 L7^T) = M,158.17545890808105,159.28419399261475,"[2500, 500]",1
V1R3,tmp68 = (L7^-1 y),159.28419399261475,163.7653739452362,"[2500, 500]",1
V1R3,tmp12 = (L7^-1 X),163.7653739452362,168.57733988761902,"[2500, 500]",1
V1R3,tmp14 = (tmp12^T tmp12),168.57733988761902,168.66649198532104,"[2500, 500]",1
V1R3,(L15 L15^T) = tmp14,168.66649198532104,168.67687106132507,"[2500, 500]",1
V1R3,tmp21 = (tmp12^T tmp68),168.67687106132507,168.67687511444092,"[2500, 500]",1
V1R3,tmp23 = (L15^-1 tmp21),168.67687511444092,168.72678589820862,"[2500, 500]",1
V1R3,tmp24 = (L15^-T tmp23),168.72678589820862,168.77378106117249,"[2500, 500]",1
V1R3,b = tmp24,168.77378106117249,168.77378511428833,"[2500, 500]",1
V1R4,(L7 L7^T) = M,168.7840449810028,169.89167499542236,"[2500, 500]",1
V1R4,tmp68 = (L7^-1 y),169.89167499542236,174.35906100273132,"[2500, 500]",1
V1R4,tmp12 = (L7^-1 X),174.35906100273132,179.1804220676422,"[2500, 500]",1
V1R4,tmp14 = (tmp12^T tmp12),179.1804220676422,179.26746201515198,"[2500, 500]",1
V1R4,(L15 L15^T) = tmp14,179.26746201515198,179.27871704101562,"[2500, 500]",1
V1R4,tmp21 = (tmp12^T tmp68),179.27871704101562,179.2787220478058,"[2500, 500]",1
V1R4,tmp23 = (L15^-1 tmp21),179.2787220478058,179.32527899742126,"[2500, 500]",1
V1R4,tmp24 = (L15^-T tmp23),179.32527899742126,179.37196493148804,"[2500, 500]",1
V1R4,b = tmp24,179.37196493148804,179.37196803092957,"[2500, 500]",1
V1R0,(L7 L7^T) = M,180.8799910545349,181.9915919303894,"[2500, 500]",1
V1R0,tmp57 = (X^T L7^-T),181.9915919303894,181.99159693717957,"[2500, 500]",1
V1R0,tmp12 = (L7^-1 X),181.99159693717957,186.83235502243042,"[2500, 500]",1
V1R0,tmp14 = (tmp12^T tmp12),186.83235502243042,186.91708707809448,"[2500, 500]",1
V1R0,tmp68 = (L7^-1 y),186.91708707809448,191.78727507591248,"[2500, 500]",1
V1R0,(L15 L15^T) = tmp14,191.78727507591248,191.80102396011353,"[2500, 500]",1
V1R0,tmp21 = (tmp12^T tmp68),191.80102396011353,191.80358600616455,"[2500, 500]",1
V1R0,tmp23 = (L15^-1 tmp21),191.80358600616455,191.89841389656067,"[2500, 500]",1
V1R0,tmp24 = (L15^-T tmp23),191.89841389656067,191.95567393302917,"[2500, 500]",1
V1R0,b = tmp24,191.95567393302917,191.95568108558655,"[2500, 500]",1
V1R1,(L7 L7^T) = M,191.9685881137848,193.08180689811707,"[2500, 500]",1
V1R1,tmp57 = (X^T L7^-T),193.08180689811707,193.0818109512329,"[2500, 500]",1
V1R1,tmp12 = (L7^-1 X),193.0818109512329,197.91411900520325,"[2500, 500]",1
V1R1,tmp14 = (tmp12^T tmp12),197.91411900520325,198.00061702728271,"[2500, 500]",1
V1R1,tmp68 = (L7^-1 y),198.00061702728271,202.4378740787506,"[2500, 500]",1
V1R1,(L15 L15^T) = tmp14,202.4378740787506,202.44922494888306,"[2500, 500]",1
V1R1,tmp21 = (tmp12^T tmp68),202.44922494888306,202.45173811912537,"[2500, 500]",1
V1R1,tmp23 = (L15^-1 tmp21),202.45173811912537,202.541277885437,"[2500, 500]",1
V1R1,tmp24 = (L15^-T tmp23),202.541277885437,202.5872790813446,"[2500, 500]",1
V1R1,b = tmp24,202.5872790813446,202.58728194236755,"[2500, 500]",1
V1R2,(L7 L7^T) = M,202.59893608093262,203.7092649936676,"[2500, 500]",1
V1R2,tmp57 = (X^T L7^-T),203.7092649936676,203.70927095413208,"[2500, 500]",1
V1R2,tmp12 = (L7^-1 X),203.70927095413208,208.5690619945526,"[2500, 500]",1
V1R2,tmp14 = (tmp12^T tmp12),208.5690619945526,208.65366506576538,"[2500, 500]",1
V1R2,tmp68 = (L7^-1 y),208.65366506576538,213.10113096237183,"[2500, 500]",1
V1R2,(L15 L15^T) = tmp14,213.10113096237183,213.1167209148407,"[2500, 500]",1
V1R2,tmp21 = (tmp12^T tmp68),213.1167209148407,213.11943292617798,"[2500, 500]",1
V1R2,tmp23 = (L15^-1 tmp21),213.11943292617798,213.20827198028564,"[2500, 500]",1
V1R2,tmp24 = (L15^-T tmp23),213.20827198028564,213.25527811050415,"[2500, 500]",1
V1R2,b = tmp24,213.25527811050415,213.2552809715271,"[2500, 500]",1
V1R3,(L7 L7^T) = M,213.2669849395752,214.378319978714,"[2500, 500]",1
V1R3,tmp57 = (X^T L7^-T),214.378319978714,214.37832498550415,"[2500, 500]",1
V1R3,tmp12 = (L7^-1 X),214.37832498550415,219.25963592529297,"[2500, 500]",1
V1R3,tmp14 = (tmp12^T tmp12),219.25963592529297,219.3457670211792,"[2500, 500]",1
V1R3,tmp68 = (L7^-1 y),219.3457670211792,224.37024211883545,"[2500, 500]",1
V1R3,(L15 L15^T) = tmp14,224.37024211883545,224.38453102111816,"[2500, 500]",1
V1R3,tmp21 = (tmp12^T tmp68),224.38453102111816,224.38717103004456,"[2500, 500]",1
V1R3,tmp23 = (L15^-1 tmp21),224.38717103004456,224.4758539199829,"[2500, 500]",1
V1R3,tmp24 = (L15^-T tmp23),224.4758539199829,224.52401494979858,"[2500, 500]",1
V1R3,b = tmp24,224.52401494979858,224.5240180492401,"[2500, 500]",1
V1R4,(L7 L7^T) = M,224.53529000282288,225.6452751159668,"[2500, 500]",1
V1R4,tmp57 = (X^T L7^-T),225.6452751159668,225.64527797698975,"[2500, 500]",1
V1R4,tmp12 = (L7^-1 X),225.64527797698975,230.57820200920105,"[2500, 500]",1
V1R4,tmp14 = (tmp12^T tmp12),230.57820200920105,230.66588807106018,"[2500, 500]",1
V1R4,tmp68 = (L7^-1 y),230.66588807106018,235.1097650527954,"[2500, 500]",1
V1R4,(L15 L15^T) = tmp14,235.1097650527954,235.12166094779968,"[2500, 500]",1
V1R4,tmp21 = (tmp12^T tmp68),235.12166094779968,235.12394905090332,"[2500, 500]",1
V1R4,tmp23 = (L15^-1 tmp21),235.12394905090332,235.21296501159668,"[2500, 500]",1
V1R4,tmp24 = (L15^-T tmp23),235.21296501159668,235.29848194122314,"[2500, 500]",1
V1R4,b = tmp24,235.29848194122314,235.29848790168762,"[2500, 500]",1
V1R0,(L7 L7^T) = M,236.64432907104492,237.75830507278442,"[2500, 500]",1
V1R0,tmp57 = (X^T L7^-T),237.75830507278442,242.2320499420166,"[2500, 500]",1
V1R0,tmp12 = (L7^-1 X),242.2320499420166,242.23205494880676,"[2500, 500]",1
V1R0,tmp14 = (tmp12^T tmp12),242.23205494880676,247.07329201698303,"[2500, 500]",1
V1R0,tmp68 = (L7^-1 y),247.07329201698303,247.0745940208435,"[2500, 500]",1
V1R0,(L15 L15^T) = tmp14,247.0745940208435,247.16060495376587,"[2500, 500]",1
V1R0,tmp21 = (tmp12^T tmp68),247.16060495376587,247.17124199867249,"[2500, 500]",1
V1R0,tmp23 = (L15^-1 tmp21),247.17124199867249,247.259516954422,"[2500, 500]",1
V1R0,tmp24 = (L15^-T tmp23),247.259516954422,247.30538296699524,"[2500, 500]",1
V1R0,b = tmp24,247.30538296699524,247.30538606643677,"[2500, 500]",1
